titels,prices,size,url,main_category,sub_category,sub_sub_category,color,image_color,description,thumbnail,color_gallery_images,marka,all_category,seller_name,seller_logo,seller_rataings,seller_followers,seller_rewards,unit,min_purchase_qty,barcode,refundable,video_url,discount_date_from,discount_date_to,discount_percentage,stock,unique_sku,meta_description,meta_title,status
['Hotiç Siyah Kadın Ince Topuk 01AYH233510A100 '],['692'],"[['36', '37', '38', '39']]",https://www.trendyol.com/hotic/siyah-kadin-ince-topuk-p-274080778,Women,Shoes,Heels,[],[],"Hotiç Siyah Kadın Ince Topuk<br>Stiletto Taban Cinsi Standart<br>Bu üründen en fazla 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.<br>Kampanya fiyatından satılmak üzere 5 adetten az stok bulunmaktadır.<br>İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.<br>Listelenen fiyat 31 Mayıs 2022 tarihine kadar geçerlidir.<br>Bir ürün, birden fazla satıcı tarafından satılabilir. Birden fazla satıcı tarafından satışa sunulan ürünlerin satıcıları ürün için belirledikleri fiyata, satıcı puanlarına, teslimat statülerine, ürünlerdeki promosyonlara, kargonun bedava olup olmamasına ve ürünlerin hızlı teslimat ile teslim edilip edilememesine, ürünlerin stok ve kategorileri bilgilerine göre sıralanmaktadır.<br>",['image1.webp'],"[['image2.webp', 'image3.webp', 'image4.webp', 'image5.webp', 'image6.webp', 'image7.webp']]",Hotiç,"['Anasayfa', 'Kadın', 'Ayakkabı', 'Topuklu Ayakkabı', 'Klasik Topuklu Ayakkabı', 'Hotiç Klasik Topuklu Ayakkabı']",Hotiç,https://cdn.dsmcdn.com/seller-store/uploads/119/31bedf5e-d47e-478d-bd7f-9aaeac1936ac.webp,7.9,149.0B Takipçi,['https://cdn.dsmcdn.com/seller-store/resources/resmi_satici.svg'],Piece,1,,0,,,,0,100,,,,1
['Çnr&Dvs Kadın Sedef Cilt Topuklu Kadın Abiye Ayakkabı 2027cnr CNR2027S '],['321.75'],"[['35', '36', '37', '38', '39', '40']]",https://www.trendyol.com/cnr-dvs/kadin-sedef-cilt-topuklu-kadin-abiye-ayakkabi-2027cnr-p-74942052,Women,Shoes,Heels,[],[],"Çnr&Dvs Kadın Sedef Cilt Topuklu Kadın Abiye Ayakkabı 2027cnr<br>Bu üründen en fazla 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.<br>Kampanya fiyatından satılmak üzere 50 adetten fazla stok sunulmuştur.<br>İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.<br>Listelenen fiyat 31 Mayıs 2022 tarihine kadar geçerlidir.<br>Bir ürün, birden fazla satıcı tarafından satılabilir. Birden fazla satıcı tarafından satışa sunulan ürünlerin satıcıları ürün için belirledikleri fiyata, satıcı puanlarına, teslimat statülerine, ürünlerdeki promosyonlara, kargonun bedava olup olmamasına ve ürünlerin hızlı teslimat ile teslim edilip edilememesine, ürünlerin stok ve kategorileri bilgilerine göre sıralanmaktadır.<br>",['image8.webp'],"[['image9.webp', 'image10.webp', 'image11.webp', 'image12.webp', 'image13.webp', 'image14.webp']]",Çnr Dvs ,"['Anasayfa', 'Kadın', 'Ayakkabı', 'Topuklu Ayakkabı', 'Klasik Topuklu Ayakkabı']",Çnr Dvs ,https://cdn.dsmcdn.com/seller-store/uploads/305772/1e1dd778-036d-4335-bd8e-15d4d352ef57.jpeg,8.4,3.6B Takipçi,[],Piece,1,,0,,,,0,100,,,,1
"['ALTINAYAK Tek Bant Taşlı Abiye Ayakkabı 756.000015 ', 'ALTINAYAK Tek Bant Taşlı Abiye 756.000015 ', 'ALTINAYAK Tek Bant Taşlı Abiye 756.000015 ', 'ALTINAYAK Tek Bant Taşlı Abiye 756.000015 ', 'ALTINAYAK Tek Bant Taşlı Abiye Ayakkabı 756.000015 ', 'ALTINAYAK Tek Bant Taşlı Abiye Ayakkabı 756.000015 ']","['522.49', '522.49', '522.49', '522.49', '522.49', '522.49']","[['36', '37', '38', '39', '40'], ['36', '37', '38', '39', '40'], ['36', '37', '38', '39', '40'], ['36', '37', '38', '39', '40'], ['36', '37', '38', '39', '40'], ['36', '37', '38', '39', '40']]",https://www.trendyol.com/altinayak/tek-bant-tasli-abiye-ayakkabi-p-137993969,Women,Shoes,Heels,"['ALTIN', 'PLATİN', 'ROSE', 'BEYAZ', 'SİYAH', 'GÜMÜŞ']","['image15.webp', 'image16.webp', 'image17.webp', 'image18.webp', 'image19.webp', 'image20.webp']","ALTINAYAK Tek Bant Taşlı Abiye Ayakkabı<br>Bu üründen en fazla 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.<br>Kampanya fiyatından satılmak üzere 5 adetten az stok bulunmaktadır.<br>İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.<br>Bir ürün, birden fazla satıcı tarafından satılabilir. Birden fazla satıcı tarafından satışa sunulan ürünlerin satıcıları ürün için belirledikleri fiyata, satıcı puanlarına, teslimat statülerine, ürünlerdeki promosyonlara, kargonun bedava olup olmamasına ve ürünlerin hızlı teslimat ile teslim edilip edilememesine, ürünlerin stok ve kategorileri bilgilerine göre sıralanmaktadır.<br>","['image21.webp', 'image22.webp', 'image23.webp', 'image24.webp', 'image25.webp', 'image26.webp']","[['image27.webp', 'image28.webp', 'image29.webp', 'image30.webp', 'image31.webp', 'image32.webp'], ['image33.webp', 'image34.webp', 'image35.webp', 'image36.webp', 'image37.webp', 'image38.webp'], ['image39.webp', 'image40.webp', 'image41.webp', 'image42.webp', 'image43.webp', 'image44.webp'], ['image45.webp', 'image46.webp', 'image47.webp', 'image48.webp', 'image49.webp', 'image50.webp'], ['image51.webp', 'image52.webp', 'image53.webp', 'image54.webp', 'image55.webp', 'image56.webp'], ['image57.webp', 'image58.webp', 'image59.webp', 'image60.webp', 'image61.webp', 'image62.webp']]",ALTINAYAK,"['Anasayfa', 'Kadın', 'Ayakkabı', 'Topuklu Ayakkabı', 'Abiye Ayakkabı']",ALTINAYAK,https://cdn.dsmcdn.com/seller-store/uploads/755/660eb05d-d874-415c-9fe6-692cc5633b80.webp,8.7,,['https://cdn.dsmcdn.com/seller-store/resources/hizli-satici.svg'],Piece,1,,0,,,,0,100,,,,1
"['Ayakkabı Podyumum other Yeşil Yüksek Kalın Topuk Kadın Ayakkabısı OTHER9K ', 'Ayakkabı Podyumum other Fuşya Yüksek Kalın Topuk Kadın Ayakkabısı OTHER9K ', 'Ayakkabı Podyumum other Siyah Yüksek Kalın Topuk Kadın Ayakkabısı OTHER9K ']","['266', '266', '266']","[['33', '34', '35', '36', '37', '38', '39', '40', '41', '42'], ['35', '36', '37', '38', '39', '40'], ['35', '36', '37', '39', '41']]",https://www.trendyol.com/ayakkabi-podyumum/other-yesil-yuksek-kalin-topuk-kadin-ayakkabisi-p-188714886,Women,Shoes,Heels,"['Yeşil', 'Fuşya', 'Siyah']","['image63.webp', 'image64.webp', 'image65.webp']","Ayakkabı Podyumum<br> <br>""other"" Yeşil Yüksek Kalın Topuk Kadın Ayakkabısı<br>•Topuk Boyu: 9cm / •Yerli Üretim / •Model Ayak Numarası: 35 / •Farklı Cihazların Ekranlarına Göre Ürün Renklerinde Değişimler Olabilir<br>Bu üründen en fazla 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.<br>Kampanya fiyatından satılmak üzere 5 adetten az stok bulunmaktadır.<br>İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.<br>Bu ürün indirim kampanyasına dahil değildir.<br>Bir ürün, birden fazla satıcı tarafından satılabilir. Birden fazla satıcı tarafından satışa sunulan ürünlerin satıcıları ürün için belirledikleri fiyata, satıcı puanlarına, teslimat statülerine, ürünlerdeki promosyonlara, kargonun bedava olup olmamasına ve ürünlerin hızlı teslimat ile teslim edilip edilememesine, ürünlerin stok ve kategorileri bilgilerine göre sıralanmaktadır.<br>","['image66.webp', 'image67.webp', 'image68.webp']","[['image69.webp', 'image70.webp', 'image71.webp', 'image72.webp', 'image73.webp', 'image74.webp', 'image75.webp'], ['image76.webp', 'image77.webp', 'image78.webp', 'image79.webp', 'image80.webp', 'image81.webp', 'image82.webp'], ['image83.webp', 'image84.webp', 'image85.webp', 'image86.webp', 'image87.webp', 'image88.webp', 'image89.webp']]",AYAKKABI PODYUMUM,"['Anasayfa', 'Kadın', 'Ayakkabı', 'Topuklu Ayakkabı', 'Klasik Topuklu Ayakkabı']",AYAKKABI PODYUMUM,https://cdn.dsmcdn.com/seller-store/preview/logo.jpeg,,,[],Piece,1,,0,,,,0,100,,,,1
"['AYMELA Taşlı Tek Bantlı Ten Bej 10cm Ince Topuklu Yazlık Abiye Ayakkabı AY T2 ', 'AYMELA Taşlı Tek Bantlı Siyah 10cm Ince Topuklu Yazlık Abiye Ayakkabı AY T2 ']","['199', '202.28']","[['35', '37', '38', '39'], ['35', '38', '39']]",https://www.trendyol.com/aymela/tasli-tek-bantli-ten-bej-10cm-ince-topuklu-yazlik-abiye-ayakkabi-p-287092899,Women,Shoes,Heels,"['Ten', 'Siyah']","['image90.webp', 'image91.webp']","AYMELA Taşlı Tek Bantlı Ten Bej 10cm Ince Topuklu Yazlık Abiye Ayakkabı<br>Topuk yüksekliği 10cm<br>rahat ve hafif<br>tam kalıp<br>dış malzeme 1.Kalite ayakkabılık vegan deri<br>%100 yerli üretim<br>neolit taban<br>ana gövdeyi oluşturan taban iç kısımdan çelik malzeme ile desteklenmiştir<br>bileği saran ayarlanabilir delikli baret ve metal toka<br>ayak tarağını harika kavrayan şık taşlı ön bantlar<br>ürün aymela kutusu ile yollanacaktır<br>satın alırken satıcının aymela olduğunu kontrol edin<br>ürünlerde kullanılan tüm materyaller sağlığa uygun malzemeler kullanılarak üretilmiş ve gerekli testlerden geçirilmiştir , güvenle kullanabilirsiniz<br>Bu üründen en fazla 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.<br>Kampanya fiyatından satılmak üzere 5 adetten az stok bulunmaktadır.<br>İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.<br>Bir ürün, birden fazla satıcı tarafından satılabilir. Birden fazla satıcı tarafından satışa sunulan ürünlerin satıcıları ürün için belirledikleri fiyata, satıcı puanlarına, teslimat statülerine, ürünlerdeki promosyonlara, kargonun bedava olup olmamasına ve ürünlerin hızlı teslimat ile teslim edilip edilememesine, ürünlerin stok ve kategorileri bilgilerine göre sıralanmaktadır.<br>","['image92.webp', 'image93.webp']","[['image94.webp', 'image95.webp', 'image96.webp', 'image97.webp', 'image98.webp', 'image99.webp', 'image100.webp'], ['image101.webp', 'image102.webp', 'image103.webp', 'image104.webp', 'image105.webp', 'image106.webp', 'image107.webp']]",AYMELA,"['Anasayfa', 'Kadın', 'Ayakkabı', 'Topuklu Ayakkabı', 'Abiye Ayakkabı']",AYMELA,https://cdn.dsmcdn.com/seller-store/uploads/219225/880d54ae-c4c5-4cf3-b07e-2114ba4774a9.jpeg,8.5,,[],Piece,1,,0,,,,0,100,,,,1
"['Marjin Kadın Platform Topuklu Ayakkabı Küt Burun Bilekten Bantlı Bustexa0yeşil 320648614 ', 'Marjin Kadın Platform Topuklu Ayakkabı Küt Burun Bilekten Bantlı Bustexa0bej 320648614 ', 'Marjin Kadın Platform Topuklu Ayakkabı Küt Burun Bilekten Bantlı Bustexa0camel 320648614 ', 'Marjin Kadın Platform Topuklu Ayakkabı Küt Burun Bilekten Bantlı Bustexa0siyah 320648614 ']","['306.89', '329.99', '329.99', '306.89']","[['36', '37', '38', '39', '40'], ['36', '37', '38', '39', '40'], ['36', '37', '38', '39', '40'], ['36', '37', '38', '39', '40']]",https://www.trendyol.com/marjin/kadin-platform-topuklu-ayakkabi-kut-burun-bilekten-bantli-buste-yesil-p-262538090,Women,Shoes,Heels,"['Yeşil', 'Bej', 'Camel', 'Siyah']","['image5743.webp', 'image5744.webp', 'image5745.webp', 'image5746.webp']","Marjin Kadın Platform Topuklu Ayakkabı Küt Burun Bilekten Bantlı Buste yeşil<br>Topuk Tipi KALIN TOPUK Topuk Yükseklik 10cm Materyal P U Marka MARJİN Kalıp TAM KALIP Kategori Trendleri Bilekten Bantlı,Klasik Topuklu Ayakkabı,Günlük Topuklu Ayakkabı İç Taban Ölçüsü (37 Numara) 25 cm Tarak Ölçüsü (37 Numara) 13 cm Marjin Kadın Platform Topuklu Ayakkabı Buste: Destekleyici platform tabanı ve kalın ökçesi ile şıklığını sadeliğinden alan bu platform topuklu ayakkabı, konforlu adımlar atmanızı sağlarken zarif görünümü ile de günlük, klasik ve özel gün kombinlerinizin star parçası olacak. Küt burnu ve bilekten kemerli tasarımı ile stilinize modern bir görünüm kazandıracak Buste siyah, bej nude ve yeşil renkleri ile stoklardaki yerini aldı. Siz de online mağazaya özel indirimli fiyatlardan yararlanarak siparişinizi hemen oluşturabilirsiniz!<br>Bu üründen en fazla 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.<br>Kampanya fiyatından satılmak üzere 5 adetten fazla stok sunulmuştur.<br>İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.<br>Bir ürün, birden fazla satıcı tarafından satılabilir. Birden fazla satıcı tarafından satışa sunulan ürünlerin satıcıları ürün için belirledikleri fiyata, satıcı puanlarına, teslimat statülerine, ürünlerdeki promosyonlara, kargonun bedava olup olmamasına ve ürünlerin hızlı teslimat ile teslim edilip edilememesine, ürünlerin stok ve kategorileri bilgilerine göre sıralanmaktadır.<br>","['image5747.webp', 'image5748.webp', 'image5749.webp', 'image5750.webp']","[['image5751.webp', 'image5752.webp', 'image5753.webp', 'image5754.webp', 'image5755.webp', 'image5756.webp', 'image5757.webp', 'image5758.webp', 'image5759.webp'], ['image5760.webp', 'image5761.webp', 'image5762.webp', 'image5763.webp', 'image5764.webp', 'image5765.webp', 'image5766.webp', 'image5767.webp', 'image5768.webp'], ['image5769.webp', 'image5770.webp', 'image5771.webp', 'image5772.webp', 'image5773.webp', 'image5774.webp', 'image5775.webp', 'image5776.webp', 'image5777.webp', 'image5778.webp'], ['image5779.webp', 'image5780.webp', 'image5781.webp', 'image5782.webp', 'image5783.webp', 'image5784.webp', 'image5785.webp', 'image5786.webp', 'image5787.webp']]",Marjin,"['Anasayfa', 'Kadın', 'Ayakkabı', 'Topuklu Ayakkabı', 'Klasik Topuklu Ayakkabı', 'Marjin Klasik Topuklu Ayakkabı']",Marjin,https://cdn.dsmcdn.com/seller-store/uploads/102/42d8235e-7235-4165-a42a-68b46342dd36.jpeg,9.2,478.7B Takipçi,['https://cdn.dsmcdn.com/seller-store/resources/resmi_satici.svg'],Piece,1,,0,,,,0,100,,,,1
"['GULT Arkası Açık Taşlı Gece Ayakkabısı Mavi Saten GECE AYAKKABISI ', 'GULT Arkası Açık Taşlı Gece Ayakkabısı Beyaz Saten GECE AYAKKABISI ', 'GULT Arkası Açık Taşlı Gece Ayakkabısı Siyah Saten GECE AYAKKABISI ', 'GULT Arkası Açık Taşlı Gece Ayakkabısı Fuşya Saten GECE AYAKKABISI ', 'GULT Arkası Açık Taşlı Gece Ayakkabısı Platin Saten GECE AYAKKABISI Arkası açık taşlı gece ayakkabısı platin satenxa0 ', 'GULT Arkası Açık Taşlı Gece Ayakkabısı Bebe Mavi Saten GECE AYAKKABISI Arkası açık taşlı gece ayakkabısı bebe mavi satenxa0 ', 'GULT Arkası Açık Taşlı Gece Ayakkabısı Ten Saten GECE AYAKKABISI ', 'GULT Arkası Açık Taşlı Gece Ayakkabısı Gümüş Saten GECE AYAKKABISI ']","['349', '331.55', '261.92', '261.92', '261.92', '261.92', '261.92', '331.55']","[['36', '37', '38', '39', '40'], ['40'], ['36', '37', '38', '39', '40'], ['36', '37', '38', '39', '40'], ['36', '37', '39', '40'], ['38', '39'], ['35', '36', '37', '38', '39', '40'], ['35', '36', '37', '38', '39']]",https://www.trendyol.com/gult/arkasi-acik-tasli-gece-ayakkabisi-mavi-saten-p-233995197,Women,Shoes,Heels,"['MAVİ SATEN', 'BEYAZ SATEN', 'Siyah Saten', 'Fuşya  Saten', 'PLATİN', 'bebe mavi', 'Ten saten', 'Gümüş']","['image5788.webp', 'image5789.webp', 'image5790.webp', 'image5791.webp', 'image5792.webp', 'image5793.webp', 'image5794.webp', 'image5795.webp']","GULT Arkası Açık Taşlı Gece Ayakkabısı Mavi Saten<br>Bu üründen en fazla 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.<br>Kampanya fiyatından satılmak üzere 50 adetten fazla stok sunulmuştur.<br>İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.<br>Bir ürün, birden fazla satıcı tarafından satılabilir. Birden fazla satıcı tarafından satışa sunulan ürünlerin satıcıları ürün için belirledikleri fiyata, satıcı puanlarına, teslimat statülerine, ürünlerdeki promosyonlara, kargonun bedava olup olmamasına ve ürünlerin hızlı teslimat ile teslim edilip edilememesine, ürünlerin stok ve kategorileri bilgilerine göre sıralanmaktadır.<br>","['image5796.webp', 'image5797.webp', 'image5798.webp', 'image5799.webp', 'image5800.webp', 'image5801.webp', 'image5802.webp', 'image5803.webp']","[['image5804.webp', 'image5805.webp', 'image5806.webp', 'image5807.webp', 'image5808.webp', 'image5809.webp', 'image5810.webp', 'image5811.webp'], ['image5812.webp', 'image5813.webp', 'image5814.webp', 'image5815.webp', 'image5816.webp', 'image5817.webp', 'image5818.webp', 'image5819.webp'], ['image5820.webp', 'image5821.webp', 'image5822.webp', 'image5823.webp', 'image5824.webp', 'image5825.webp'], ['image5826.webp', 'image5827.webp', 'image5828.webp', 'image5829.webp'], ['image5830.webp', 'image5831.webp', 'image5832.webp', 'image5833.webp'], ['image5834.webp', 'image5835.webp', 'image5836.webp', 'image5837.webp'], ['image5838.webp', 'image5839.webp', 'image5840.webp', 'image5841.webp', 'image5842.webp', 'image5843.webp', 'image5844.webp', 'image5845.webp'], ['image5846.webp', 'image5847.webp', 'image5848.webp', 'image5849.webp', 'image5850.webp', 'image5851.webp', 'image5852.webp']]",GULT  SHOES,"['Anasayfa', 'Kadın', 'Ayakkabı', 'Topuklu Ayakkabı', 'Abiye Ayakkabı']",GULT  SHOES,https://cdn.dsmcdn.com/seller-store/uploads/135462/95d7d26a-4ee1-4c84-a743-d490a2f56961.webp,8.6,3.5B Takipçi,[],Piece,1,,0,,,,0,100,,,,1
"['DİVOLYA Juli Ten Süet Bileğe Bağlamalı Kısa Topuklu Günlük Kullanım Ayakkabı ', 'DİVOLYA Juli Beyaz Bileğe Bağlamalı Kısa Topuklu Günlük Kullanım Ayakkabı ', 'DİVOLYA Juli Siyah Süet Bileğe Bağlamalı Kısa Topuklu Günlük Kullanım Ayakkabı ', 'DİVOLYA Juli Siyah Bileğe Bağlamalı Kısa Topuklu Günlük Kullanım Ayakkabı ', 'DİVOLYA Juli Kırmızı Süet Bileğe Bağlamalı Kısa Topuklu Günlük Kullanım Ayakkabı ', 'DİVOLYA Juli Pudra Bileğe Bağlamalı Kısa Topuklu Günlük Kullanım Ayakkabı ']","['149.70', '165.87', '165.87', '165.87', '157.58', '157.58']","[['36'], ['37'], ['38'], ['38'], ['38'], ['37', '38', '40']]",https://www.trendyol.com/divolya/juli-ten-suet-bilege-baglamali-kisa-topuklu-gunluk-kullanim-ayakkabi-p-249650628,Women,Shoes,Heels,"['Ten Süet', 'Beyaz Cilt', 'Siyah Süet', 'Siyah Cilt', 'kırmızı', 'pudra']","['image5853.webp', 'image5854.webp', 'image5855.webp', 'image5856.webp', 'image5857.webp', 'image5858.webp']","DİVOLYA Juli Ten Süet Bileğe Bağlamalı Kısa Topuklu Günlük Kullanım Ayakkabı<br>Materyal: Süet<br>Topuk yüksekliği: 5 cm<br>Kalıp: -tam kalıp<br>Yerli üretim<br>Bu üründen en fazla 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.<br>Kampanya fiyatından satılmak üzere 5 adetten az stok bulunmaktadır.<br>İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.<br>Listelenen fiyat 30 Mayıs 2022 tarihine kadar geçerlidir.<br>Bir ürün, birden fazla satıcı tarafından satılabilir. Birden fazla satıcı tarafından satışa sunulan ürünlerin satıcıları ürün için belirledikleri fiyata, satıcı puanlarına, teslimat statülerine, ürünlerdeki promosyonlara, kargonun bedava olup olmamasına ve ürünlerin hızlı teslimat ile teslim edilip edilememesine, ürünlerin stok ve kategorileri bilgilerine göre sıralanmaktadır.<br>","['image5859.webp', 'image5860.webp', 'image5861.webp', 'image5862.webp', 'image5863.webp', 'image5864.webp']","[['image5865.webp', 'image5866.webp', 'image5867.webp', 'image5868.webp', 'image5869.webp', 'image5870.webp'], ['image5871.webp', 'image5872.webp', 'image5873.webp', 'image5874.webp', 'image5875.webp', 'image5876.webp'], ['image5877.webp', 'image5878.webp', 'image5879.webp', 'image5880.webp', 'image5881.webp', 'image5882.webp'], ['image5883.webp', 'image5884.webp', 'image5885.webp', 'image5886.webp', 'image5887.webp', 'image5888.webp'], ['image5889.webp', 'image5890.webp', 'image5891.webp', 'image5892.webp', 'image5893.webp', 'image5894.webp'], ['image5895.webp', 'image5896.webp', 'image5897.webp', 'image5898.webp', 'image5899.webp', 'image5900.webp']]",Divolya,"['Anasayfa', 'Kadın', 'Ayakkabı', 'Topuklu Ayakkabı', 'Klasik Topuklu Ayakkabı']",Divolya,https://cdn.dsmcdn.com/seller-store/uploads/329217/05247b6d-6124-4f3b-8553-429e8b0bf5cd.jpeg,8.7,26.1B Takipçi,[],Piece,1,,0,,,,0,100,,,,1
['Jabotter Cindy Şeffaf 10 cm  Stiletto JAB3803 '],['3392.49'],"[['34', '35', '36', '37', '38', '39', '40', '41']]",https://www.trendyol.com/jabotter/cindy-seffaf-10-cm-stiletto-p-149941656,Women,Shoes,Heels,[],[],"Jabotter Cindy Şeffaf 10 cm  Stiletto<br>Bu üründen en fazla 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.<br>Kampanya fiyatından satılmak üzere 10 adetten fazla stok sunulmuştur.<br>İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.<br>Bir ürün, birden fazla satıcı tarafından satılabilir. Birden fazla satıcı tarafından satışa sunulan ürünlerin satıcıları ürün için belirledikleri fiyata, satıcı puanlarına, teslimat statülerine, ürünlerdeki promosyonlara, kargonun bedava olup olmamasına ve ürünlerin hızlı teslimat ile teslim edilip edilememesine, ürünlerin stok ve kategorileri bilgilerine göre sıralanmaktadır.<br>",['image5901.webp'],"[['image5902.webp', 'image5903.webp', 'image5904.webp', 'image5905.webp', 'image5906.webp']]",Jabotter,"['Anasayfa', 'Kadın', 'Ayakkabı', 'Topuklu Ayakkabı', 'Abiye Ayakkabı']",Jabotter,https://cdn.dsmcdn.com/seller-store/uploads/458489/ab66f47b-1424-43f1-a9c4-7561099d9643.jpeg,7.9,2.4B Takipçi,[],Piece,1,,0,,,,0,100,,,,1
"['Fox Shoes Kadın Ten Dolgu Topuklu Ayakkabı K6743054 ', 'Fox Shoes Kadın Yeşil/bej Dolgu Topuklu Ayakkabı K674305409 ', 'Fox Shoes Kadın Bej/turuncu Dolgu Topuklu Ayakkabı K674305409 ', 'Fox Shoes Beyaz Kadın Dolgu Topuklu Ayakkabı K674305409 ', 'Fox Shoes Kadın Siyah Dolgu Topuklu Ayakkabı K6743054 ']","['399.99', '399.99', '399.99', '399.99', '399.99']","[['36', '39', '40', '41'], ['38'], ['39'], ['38', '39', '41'], ['36', '37', '38', '39', '40', '41']]",https://www.trendyol.com/fox-shoes/kadin-ten-dolgu-topuklu-ayakkabi-p-101712003,Women,Shoes,Heels,"['Ten-Suni Deri', 'Yeşil/Bej-Suni Deri', 'Bej/Turuncu-Suni Deri', 'Beyaz-Suni Deri', 'Siyah-Suni Deri']","['image5907.webp', 'image5908.webp', 'image5909.webp', 'image5910.webp', 'image5911.webp']","Fox Shoes Kadın Ten Dolgu Topuklu Ayakkabı<br>Malzeme:Suni Deri Taban: Hazır Taban Topuk Yüksekliği: 6 cm Ürünlerimiz Türkiye'de üretilmektedir.<br>Bu üründen en fazla 50 adet sipariş verilebilir. 50 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.<br>Kampanya fiyatından satılmak üzere 5 adetten az stok bulunmaktadır.<br>İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.<br>Bir ürün, birden fazla satıcı tarafından satılabilir. Birden fazla satıcı tarafından satışa sunulan ürünlerin satıcıları ürün için belirledikleri fiyata, satıcı puanlarına, teslimat statülerine, ürünlerdeki promosyonlara, kargonun bedava olup olmamasına ve ürünlerin hızlı teslimat ile teslim edilip edilememesine, ürünlerin stok ve kategorileri bilgilerine göre sıralanmaktadır.<br>","['image5912.webp', 'image5913.webp', 'image5914.webp', 'image5915.webp', 'image5916.webp']","[['image5917.webp', 'image5918.webp', 'image5919.webp', 'image5920.webp'], ['image5921.webp', 'image5922.webp', 'image5923.webp', 'image5924.webp'], ['image5925.webp', 'image5926.webp', 'image5927.webp', 'image5928.webp'], ['image5929.webp', 'image5930.webp', 'image5931.webp', 'image5932.webp'], ['image5933.webp', 'image5934.webp', 'image5935.webp', 'image5936.webp', 'image5937.webp', 'image5938.webp']]",Fox Shoes,"['Anasayfa', 'Kadın', 'Ayakkabı', 'Topuklu Ayakkabı', 'Dolgu Topuklu Ayakkabı', 'Fox Shoes Dolgu Topuklu Ayakkabı']",Fox,https://cdn.dsmcdn.com/seller-store/uploads/107292/b0c8870d-52db-497d-9204-f82c78589cfb.jpeg,9.4,32.0B Takipçi,['https://cdn.dsmcdn.com/seller-store/resources/hizli-satici.svg'],Piece,1,,0,,,,0,100,,,,1
