unique_key,surah_number,ayat_number,arabic_root_word,normalized_arabic_word,translitaration_word,english_word_subject_category,english_word_sub_subject_category,word_sub_category_description,inference_flag,hadith_reference
101,2,255,السَّمَاوَاتِ,السَّمَاوَاتِ,Assamaawaati ,Heaven ,Belongs ,Everything in Heaven & Earth belongs to Him,,1
102,2,255,الْأَرْضِ,الْأَرْضِ,Al ard,Earth,Belongs ,Everything in Heaven & Earth belongs to Him,,
103,2,255,يَشْفَعُ,يَشْفَعُ,yashfa'u,Intercession,Allah's Permission,Who Can Intercede With Allah Without His Permission,,
104,2,255,بِإِذْنِهِ,بِإِذْنِهِ,bi-iznih,Permission,Allah's Permission,Who Can Intercede With Allah Without His Permission,,
105,2,255, يَعْلَمُ, يَعْلَمُ,ya'lamu,Know,Allah,Allah knows what is before them and after them and none can encompass anything of His knowledge except that which He wills,,
106,2,255, بَيْنَ أَيْدِيهِمْ, بَيْنَ أَيْدِيهِمْ,baina aydeehim,Before Them,Know ,Allah knows what is before them and after them and none can encompass anything of His knowledge except that which He wills,,25
107,2,255,خَلْفَهُمْ,خَلْفَهُمْ,khalfahum,After Them,Know ,Allah knows what is before them and after them and none can encompass anything of His knowledge except that which He wills,,
108,2,255,يُحِيطُونَ,يُحِيطُونَ,yuheetoona,Encompass,Knowledge,Allah knows what is before them and after them and none can encompass anything of His knowledge except that which He wills,,
109,2,255,بِشَيْءٍ,بِشَيْءٍ,bishai'im,Thing,Knowledge,Allah knows what is before them and after them and none can encompass anything of His knowledge except that which He wills,,
110,2,255,عِلْمِهِ,عِلْمِهِ,'ilmihee,Knowledge,Encompass ,Allah knows what is before them and after them and none can encompass anything of His knowledge except that which He wills,,
111,2,255,شَاءَ,شَاءَ,shaaa',Allah's Will,Encompass ,Allah knows what is before them and after them and none can encompass anything of His knowledge except that which He wills,,
112,2,255,كُرْسِيُّهُ,كُرْسِيُّهُ,Kursiyyuhu,Throne  ,Allah,Allah's Throne extends over the heaven earth and He feels no fatigue in guarding them,,
113,2,255,وَسِعَ,وَسِعَ,wasi'a,Extends,Throne  ,Allah's Throne extends over the heaven earth and He feels no fatigue in guarding them,,
114,2,255, يَئُودُهُ, يَئُودُهُ,Ya'ooduhoo,Tires,Allah,Allah's Throne extends over the heaven earth and He feels no fatigue in guarding them,,
115,2,255,حِفْظُهُمَا,حِفْظُهُمَا,hifzuhumaa,Gurading,Throne  ,Allah's Throne extends over the heaven earth and He feels no fatigue in guarding them,,
116,2,256,إِكْرَاهَ,إِكْرَاهَ,ikraaha,Compulsion,Religion ,Verily there is no compulsion in religion,,
117,2,256,الدِّينِ,الدِّينِ,deen,Religion ,Compulsion,Verily there is no compulsion in religion,,
118,2,256,الدِّينِ,الدِّينِ,Freedom of Choice,Freedom of Religion,Choice in Religion,Verily there is no compulsion in religion,y,
119,2,256, تَبَيَّنَ, تَبَيَّنَ,tabiyana,Distinct,Path,Verily the right has become distinct from the Wrong,,
120,2,256,الرُّشْدُ,الرُّشْدُ,Arrushdu,Right,Path,Verily the right has become distinct from the Wrong,,
121,2,256,الْغَيِّ,الْغَيِّ,Alghayy,Wrong,Path,Verily the right has become distinct from the Wrong,,
122,2,256, يَكْفُرْ, يَكْفُرْ,yakfur,Disbelieve,Taghut - Evil,"Whoever Disbelieves Taghut/evil and believes in Allah has grasped the most trustworthy handhold, that never breaks", ,
123,2,256,بِالطَّاغُوتِ,بِالطَّاغُوتِ,bit Taaghooti,Taghut,Disbelieve,"Whoever Disbelieves Taghut/evil and believes in Allah has grasped the most trustworthy handhold, that never breaks",,5
124,2,256,يُؤْمِنْ,يُؤْمِنْ,yu'mim,Believe,Allah,"Whoever Disbelieves Taghut/evil and believes in Allah has grasped the most trustworthy handhold, that never breaks",,
125,2,256,بِالطَّاغُوتِ,بِالطَّاغُوتِ,bit Taaghooti,Evil,Disbelieve in Taghut,"Whoever Disbelieves Taghut/evil and believes in Allah has grasped the most trustworthy handhold, that never breaks",,
126,2,256,اللَّهُ,اللَّهُ,Allaahu ,Allah,Believe in Allah,"Whoever Disbelieves Taghut/evil and believes in Allah has grasped the most trustworthy handhold, that never breaks",,
127,2,256,اسْتَمْسَكَ,اسْتَمْسَكَ,is tamsaka ,Grasped,Handhold  that is Trustworthy,"Whoever Disbelieves Taghut/evil and believes in Allah has grasped the most trustworthy handhold, that never breaks",,
128,2,256,بِالْعُرْوَةِ,بِالْعُرْوَةِ,bil'urwati,Handhold,Trustworthy,"Whoever Disbelieves Taghut/evil and believes in Allah has grasped the most trustworthy handhold, that never breaks",,
129,2,256, بِالْعُرْوَةِ الْوُثْقَىٰ, بِالْعُرْوَةِ الْوُثْقَىٰ,bil'urwatil wusqaa,Trustworthy  ,Handhold  that is Trustworthy,"Whoever Disbelieves Taghut/evil and believes in Allah has grasped the most trustworthy handhold, that never breaks",,
130,2,256,الْوُثْقَىٰ,الْوُثْقَىٰ,Al wusqaa,Firm,Handhold  that is Trustworthy,"Whoever Disbelieves Taghut/evil and believes in Allah has grasped the most trustworthy handhold, that never breaks",,
131,2,256,انْفِصَامَ,انْفِصَامَ,an fisaama,Break,Handhold,"Whoever Disbelieves Taghut/evil and believes in Allah has grasped the most trustworthy handhold, that never breaks",,
132,2,256,اللَّهُ,اللَّهُ,Allaahu ,Allah,Beautiful Names,"Allah is All Hearer, All Knower",,
133,2,256,Words,Words,Words in pair,Words Used in Pair,"Words Used in Pair > All Hearer, All Knower","Allah is All Hearer, All Knower",y,
134,2,256,Asma al Husna,Asma al Husna,Asma al husna,Beautiful Names,Allah,"Allah is All Hearer, All Knower",,
135,2,256,سَمِيعٌ,سَمِيعٌ,Samee'un ,All Hearer,Beautiful Names,"Allah is All Hearer, All Knower",,
136,2,256,عَلِيمٌ,عَلِيمٌ,'Aleem,All Knower,Beautiful Names,"Allah is All Hearer, All Knower",,
